LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
11.0,0.245499805,0.0,0.0,0.0,0.0,3.99431871,0.000149673,3201.1966549999997,391.0161438,391.0161438,-2.782094122
1.0,-0.036800683,8.0,3.010014534,4.0,90.0,3.638318524,0.000513787,3510.169434,391.0161438,0.0,-2.252119237
1.0,-0.054719999,0.0,0.0,0.0,0.0,3.99431871,0.000771402,3126.239014,391.0161438,391.0161438,-2.782094122
1.0,-0.011093738,0.0,0.0,0.0,0.0,11.51292546,0.000433176,3509.946533,1612.200928,0.0,-11.51292546
11.0,0.303506136,0.0,0.0,0.0,0.0,3.99431871,8.29e-05,3201.1966549999997,1409.828735,1564.064575,-2.782094122
2.0,0.667554021,4.0,3.141738415,4.0,287.1527405,2.902265565,0.000715863,3060.702393,0.0,0.0,-2.902265565
1.0,-0.102819234,0.0,0.0,0.0,0.0,12.20607265,0.000697176,3126.239014,1105.960693,552.9803467,-11.51292546
5.0,0.395833343,5.0,1.001493573,-1.0,270.0,4.046060775,0.000479169,3028.888184,0.0,391.0161438,-4.046060775
11.0,0.481096745,3.0,0.0,0.0,0.0,11.51292546,0.000587502,3041.589844,874.3386841,1236.501587,-11.51292546
5.0,0.56543839,21.0,2.955251932,-49.0,160.1694183,2.96356203,0.000345286,3182.272461,0.0,782.0322876,-2.96356203
5.0,0.377333492,2.0,2.209574938,7.0,114.8062897,6.027260473,0.000318779,3182.272461,391.0161438,391.0161438,-0.482325974
11.0,0.283360362,3.0,8.148259163,-3.0,142.3174133,1.943579222,0.000142701,3097.733398,2737.113037,1564.064575,-1.943579222
5.0,0.652459979,6.0,1.366756916,-2.0,227.2751465,3.735177501,0.00059815,3323.929932,0.0,391.0161438,-3.735177501
2.0,0.621172011,5.0,1.002251863,3.0,90.0,4.738451361,0.001312526,3153.552734,0.0,0.0,-3.352442683
7.0,0.507631242,4.0,0.927409947,3.0,180.0,4.122881649,0.000851439,3154.920898,0.0,0.0,-4.122881649
5.0,0.396961123,9.0,2.108050346,8.0,28.41135597,3.301740446,0.00032992,3182.272461,0.0,552.9803467,-3.301740446
2.0,0.65435797,10.0,0.927409947,-7.0,0.0,4.122881649,0.000672403,3038.968262,391.0161438,782.0322876,-4.122881649
5.0,0.435146451,5.0,0.927409947,-2.0,180.0,5.50917601,0.000952298,3038.79126,0.0,391.0161438,-2.737050422
5.0,0.722394466,7.0,1.36479187,-5.0,312.8011169,3.736616221,0.000722922,3033.762207,0.0,874.3386841,-3.736616221
2.0,0.637673378,6.0,5.710995197,-9.0,299.0516968,2.302414233,0.00048792,3033.783447,0.0,1105.960693,-2.302414233
1.0,-0.108283743,3.0,3.427283049,4.0,324.183075,2.815098467,0.000393718,3319.958252,0.0,391.0161438,-2.815098467
5.0,0.249226198,6.0,1.364733934,-3.0,47.19662857,3.73665867,0.000360052,3042.246094,0.0,391.0161438,-3.73665867
7.0,0.481007338,7.0,1.004286766,-9.0,90.0,7.039008925,0.001046729,3393.994873,0.0,391.0161438,-1.048086146
2.0,0.706507444,4.0,3.141953707,9.0,252.8484802,3.595344096,0.000437816,3072.656982,391.0161438,782.0322876,-2.20914081
5.0,0.490358263,5.0,4.090195179,-4.0,312.775116,2.6377937,0.000699846,3132.148926,0.0,391.0161438,-2.6377937
1.0,-0.145696491,4.0,2.955466509,1.0,19.84214211,4.572927222,0.000173832,3236.143311,874.3386841,0.0,-1.354206332
2.0,0.738444507,9.0,1.365269184,3.0,227.2174377,3.736266562,0.000923386,3174.665039,0.0,552.9803467,-3.736266562
5.0,0.412846386,5.0,3.704791784,-1.0,180.0,2.737050446,0.000636343,3142.626465,0.0,0.0,-2.737050446
5.0,0.559045792,10.0,2.72877717,-12.0,227.2133026,3.043407108,0.000509785,3162.476318,0.0,782.0322876,-3.043407108
7.0,0.618093848,4.0,1.001768947,8.0,90.0,4.045785951,0.00076173,3097.578125,0.0,0.0,-4.045785951
11.0,0.453528374,7.0,1.364780307,10.0,132.8015747,3.736624693,0.000318257,3046.432129,1236.501587,1409.828735,-3.736624693
2.0,0.281666875,5.0,2.954781055,9.0,19.80521202,2.96372163,0.000626481,3152.212646,0.0,391.0161438,-2.96372163
5.0,0.64954859,2.0,2.003783226,6.0,270.0,4.451108655,0.001312262,3156.854736,0.0,0.0,-2.254074589
2.0,0.622744381,12.0,1.366881728,-4.0,227.2799835,3.735086189,0.000572202,3491.455078,391.0161438,874.3386841,-3.735086189
