LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20505306,3.0,3.4270387,2.0,3.508317,0.000335256,3246.5942,391.01614,391.01614,-2.1221063,-0.5851167,-0.8109491
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10533781,0.0,0.0,0.0,12.611538,0.000459997,3334.4148,0.0,391.01614,-11.512925,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05426272,6.0,1.3666946,7.0,3.735223,0.000485299,3439.48,782.0323,782.0323,-3.735223,0.7345918,-0.6785093
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25693423,4.0,1.3661064,7.0,4.4288006,0.000242529,3182.2725,782.0323,782.0323,-3.042716,-0.7343218,0.67880154
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.050080776,0.0,0.0,0.0,3.9943187,0.000455449,3509.8813,1236.5016,391.01614,-2.7820942,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23320706,5.0,1.3650376,-4.0,4.4295835,0.000379145,3108.0132,391.01614,0.0,-3.0434988,-0.73382986,0.67933327
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7615589,6.0,3.5290794,-9.0,4.3952,0.00069606,3128.545,0.0,391.01614,-1.1764538,0.8511252,-0.52496284
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30721715,10.0,4.416234,1.0,2.560827,0.000614223,3485.2236,0.0,391.01614,-2.560827,-0.9078917,-0.4192048
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7237866,11.0,3.1410825,-5.0,3.5956218,0.000376142,3037.4773,874.3387,874.3387,-2.2094185,0.9555029,0.2949816
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6719018,7.0,2.0048192,-2.0,3.3519793,0.000663378,3140.9756,0.0,391.01614,-3.3519793,1.0,6.123234e-17
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63833517,5.0,2.7292259,2.0,8.053878,0.000353164,3145.7104,0.0,0.0,1.9671844,0.7339911,0.6791591
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496404,0.0,3.7047918,11.0,4.3464885,0.000134133,3097.7334,2346.097,874.3387,-1.1277361,1.2246469e-16,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6768542,5.0,1.0010984,-3.0,4.0464554,0.000587502,3041.1414,874.3387,1236.5016,-4.0464554,1.0,6.123234e-17
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18111052,5.0,4.8700967,-21.0,3.1557307,0.000445809,3126.8567,552.98035,782.0323,-1.769495,0.8216713,-0.56996167
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3676935,4.0,1.3647093,2.0,6.56989,0.000828474,3037.7754,391.01614,391.01614,-0.90385836,0.73367846,0.67949677
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57899576,5.0,1.3649851,2.0,3.7364748,0.000544441,3084.383,0.0,874.3387,-3.7364748,0.73380566,-0.67935944
