LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16993995,-1.4557872,-0.6378287,-0.75671333,0.24717292,-1.4538697,0.12933661,-0.03672257,-1.0007093,0.24951708,-1.0632502,0.83181894
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.716427,-0.6109262,-0.15413155,0.93139446,0.47189423,-0.87160146,1.1624306,-0.6564583,-1.0007093,0.77517116,-0.6873922,-1.325229
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1340221,-2.3006482,-0.15467344,0.93139446,-0.57620203,-3.0350134,-0.2684522,5.0403934,10.480498,-0.23414268,-0.68645775,1.1100096
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1798232,-0.89254653,-0.92370987,0.01060837,-0.27247465,-1.8828081,0.58030736,-0.6564583,-0.04724688,-0.52657616,0.005503773,-1.4921786
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06329659,-1.1741668,-0.92370987,0.47100142,-0.27247465,-0.44860202,-0.011995345,-0.21823898,-0.04724688,-0.52657616,0.005503773,1.2764783
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3439324,-0.6109262,-0.8755032,-2.2913568,0.2946073,-1.6357856,-0.39911917,-0.21823898,-1.0007093,0.073912725,-1.4499062,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.5498536,-2.3006482,-1.5280358,0.01060837,-0.32004073,-2.9115365,-0.40701896,2.6809206,6.2606435,-0.048952896,0.005503773,1.2764783
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46595907,-0.89254653,-0.15411586,1.0848588,-0.5763523,0.015063638,0.9686727,-0.6564583,-0.04724688,-0.23399796,-0.6874191,-1.3252152
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0565355,-1.4557872,0.70511734,0.31753707,-0.4998534,-1.6777556,0.37072966,-0.21823898,-0.04724688,0.18615197,-0.8460809,-1.2304701
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6374943,-2.3006482,-1.5280358,0.01060837,2.8681889,-1.1727513,0.7003112,-0.6564583,-0.04724688,-3.159102,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4228575,-0.6109262,-0.6374598,1.0848588,-0.41590187,-1.0703182,1.0946101,0.21998034,0.9062155,-0.38848215,1.0746361,-1.0471299
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2745595,-1.1741668,-0.6378431,1.0848588,-0.15928958,-2.0531538,0.12933661,0.21998034,0.9062155,-0.14179315,-1.0632355,0.83183414
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.4052835,-2.3006482,-1.5280358,0.01060837,-0.32004073,-1.1911637,1.3588191,0.72931284,-0.04724688,-0.048952896,0.005503773,1.2764783
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2148013,-0.89254653,-0.63853955,-0.603249,-0.1589999,-1.5000744,-0.14935084,-0.21823898,-1.0007093,-0.14207198,-1.0625196,0.8325702
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005532,-0.6109262,0.77160996,-1.3705708,-0.17172132,-0.2170687,-0.072297335,-0.6564583,-0.04724688,0.52301794,1.2442399,-0.8345711
