LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
0.42040575,0.26237148,-0.8925464,-0.22170004,0.0106083695,-0.57709366,-0.30122572,-0.9787551,-0.095477335,-0.6564583,-1.0007092,-0.0051108506
0.42040575,-0.27390555,-0.04768546,0.7719638,-1.6774994,1.3641375,-0.10432231,-0.040662896,-0.06792615,-0.6564583,-0.047246892,0.5880187
-0.9800934,-0.33770823,-2.300648,-1.5280358,0.0106083695,-1.4025239,5.0765123,-0.46873897,0.90170395,-0.6564583,-1.0007092,-3.159102
-1.4469265,-3.0569654,-0.32930577,0.39774567,-0.29632032,1.7172782,-0.7014148,-2.2897272,0.43982822,-0.6564583,0.9062154,-0.11358572
-1.4469265,-3.3192182,-2.0190277,0.7047446,0.62446576,0.5766556,-0.7562445,-2.070841,0.12933642,0.32342988,-0.047246892,-0.060794864
-0.9800934,-0.020289734,-0.6109261,1.216194,-0.75671333,1.6384071,-0.83276874,1.7363108,0.72739214,-0.6564583,-1.0007092,0.012883938
-0.9800934,1.0115864,1.3604162,-0.31970045,-0.44978467,-1.4025239,-0.52881336,-1.6786017,0.20035698,0.32342988,0.9062154,-0.27976912
3.221404,-0.64770406,-0.6109261,-0.088710375,0.4710014,-0.80468684,-0.59357065,-2.5264587,-0.18793,2.8492963,1.8596779,-0.21741974
-0.9800934,0.5069065,-0.8925464,-0.6383192,-0.44978467,0.6814268,-0.41554463,-0.5276152,0.0062705297,-0.6564583,1.1312973,-0.38882604
0.42040575,0.7658647,-0.6109261,-0.63835627,-1.063642,0.68140656,-0.41552922,2.129951,0.042260226,-0.6564583,-1.0007092,-0.38884085
0.42040575,0.16805707,-1.4557871,-0.15461244,0.62446576,1.6387942,-0.5762184,0.07429609,-0.066379555,-0.6564583,0.9062154,-0.23412675
3.221404,-0.77959216,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-2.694541,0.20035698,0.5830131,2.930517,-0.048952807
-0.9800934,0.72871906,-1.1741667,-0.63875073,0.0106083695,-0.96966976,0.09754099,0.3189989,-0.41307268,-0.218239,-0.047246892,0.10472313
-1.4469265,-3.0913794,-0.8925464,-0.15407085,-0.603249,0.50912285,-0.06345827,-0.3698441,0.5738083,-0.6564583,-1.0007092,0.2597753
3.221404,-1.0761019,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,0.08794737,0.20035698,-0.218239,-0.047246892,-0.048952807
0.42040575,-0.23889741,-1.4557871,0.28367698,0.4710014,0.24833664,-0.27232218,-1.4386153,0.12933642,-0.6564583,0.9062154,0.25593677
-1.4469265,-2.2045982,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-2.460117,1.3610848,0.72931284,-0.047246892,-0.048952807
0.42040575,-0.8997569,-0.8925464,1.1485447,-0.603249,-0.45761424,0.9255532,-1.3378866,0.13419797,-0.6564583,-1.0007092,1.6879315
-0.9800934,0.98458034,-0.32930577,0.97230035,-0.603249,1.7606226,-0.5417709,-1.0966249,-0.31896988,-0.6564583,-0.047246892,0.22651412
-0.9800934,0.9683361,-1.1741667,-1.5280358,0.31753707,-1.4025239,2.4617202,-0.179961,-0.40612763,-0.6564583,-1.0007092,-3.159102
-1.4469265,-2.5806103,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-2.4568825,-0.07358666,1.5346383,-1.0007092,-0.048952807
-1.4469265,-2.2913706,-2.300648,-1.5280358,0.0106083695,-1.4025239,3.4107094,-0.69442636,-0.08095135,0.5830131,0.34769017,-3.159102
