POINT_X,POINT_Y,LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Class
298702.4154,2482709.601,1,-0.170883268,2,4.007317543,-5,270,2.658329715,,3182.272461,,,-2.658329715,0
299481.9793,2474361.187,11,0.349640399,0,3.704791784,11,180,4.346488358,0.000134133,3097.733398,2346.096924,874.3386841,-1.127736072,1
304780.7804,2447619.394,2,0.676854193,5,1.001098394,-3,90,4.046455297,0.000587502,3041.141357,874.3386841,1236.501587,-4.046455297,0
294734.7278,2476245.529,5,0.341070533,3,0,3,0,11.51292546,0.00014826,,0,552.9803467,-11.51292546,0
310493.9133,2472674.014,1,-0.181110516,5,4.870096684,-21,124.747551,3.155730641,0.000445809,3126.856689,552.9803467,782.0322876,-1.769494957,0
307152.6641,2459560.865,5,0.358803988,4,2.207078218,-1,65.16371918,3.948950352,0.00098251,3123.085693,0,391.0161438,-2.562785701,0
306410.8691,2451460.643,5,0.367693514,4,1.364709258,2,47.19566727,6.569890095,0.000828474,3037.775391,391.0161438,391.0161438,-0.903858387,1
310032.2347,2457246.899,2,0.578995764,5,1.364985108,2,132.7936096,3.736474648,0.000544441,3084.383057,0,874.3386841,-3.736474648,0
293781.5734,2444960.078,2,0.480511218,0,0,0,0,,0.000218599,3077.211426,2764.901611,1955.080688,,0
311418.131,2497448.549,2,0.346557945,9,1.854334116,-5,180,7.23670573,0.000707309,3457.685547,0,391.0161438,0.376317286,1
308151.3667,2475044.427,1,-0.12592195,8,2.730106354,1,132.760849,3.042919492,0.000233388,3135.274414,874.3386841,552.9803467,-3.042919492,0
312124.4732,2468112.383,1,-0.039186135,5,3.837283611,6,15.12159729,5.266765815,0.000502927,3126.239014,391.0161438,782.0322876,-0.137004711,0
301858.1354,2496614.469,7,0.619921088,4,1.854334116,1,180,3.43004324,0.001063885,3377.342041,0,782.0322876,-3.43004324,1
301320.5422,2469605.496,5,0.444530249,5,2.208247185,-4,65.17776489,3.25527328,0.000407572,3116.331055,0,0,-3.25527328,0
306182.1328,2452068.275,5,0.348298728,4,1.854334116,0,0,3.43004324,0.000913769,3038.261963,391.0161438,0,-3.43004324,1
307931.2085,2466743.161,7,0.721170783,3,1.365432739,5,227.2237854,3.736146777,0.000751986,3140.912354,391.0161438,0,-3.736146777,0
303567.9265,2490278.966,1,-0.199400917,4,2.210690975,9,114.7929077,3.254166416,0.000357991,3238.813477,391.0161438,1564.064575,-3.254166416,0
307342.0349,2495973.433,2,0.66799289,0,0,3,0,18.53579355,0.000910522,3407.093994,0,0,-11.51292546,0
298561.0805,2453352.715,1,0.177712113,15,2.002308369,-1,270,3.353233064,,3034.979248,,,-3.353233064,0
302325.0198,2493345.065,5,0.416619658,8,1.36670208,-6,312.7269897,3.735217622,0.000356695,3288.772949,0,1105.960693,-3.735217622,0
311418.3675,2456964.58,5,0.168253973,5,2.107264757,-2,28.37180519,3.302113412,0.000328501,3081.739746,0,391.0161438,-3.302113412,1
316590.8704,2493628.389,1,-0.026418598,0,0,0,0,,0.000282346,3510.293945,1236.501587,391.0161438,,0
302453.1415,2445093.945,2,0.651062191,2,1.364406824,8,132.8161011,4.835510665,0.000474571,3042.756592,1409.828735,782.0322876,-2.638565911,0
295694.7276,2454888.987,1,-0.216903165,0,0,0,0,,0,,3363.647949,3340.843506,,0
297226.7306,2450706.732,4,0.371240616,5,6.056853771,-6,278.7752991,2.243207484,0.000198825,3055.224121,1105.960693,1409.828735,-2.243207484,0
301267.3904,2463994.808,1,-0.05349122,2,0.927409947,12,180,4.122881649,0.000673195,3160.864014,0,391.0161438,-4.122881649,0
307795.5281,2498085.477,5,0.633667231,5,2.108535528,-4,28.43573761,3.994657351,0.001118448,3414.501221,0,391.0161438,-2.608498767,0
297785.1607,2445163.899,5,0.53239435,1,1.364406824,1,132.8161011,9.059908356,0.000449005,3063.044434,0,0,1.585693886,0
305626.2312,2467080.517,5,0.301773489,3,0.927409947,-6,0,8.926902694,0.001156174,3146.369141,0,1105.960693,0.6805269,0
